child_id,session_id,session_date,age,grade,gender,passage_id,passage_level,reading_duration_sec,words_total,words_correct,words_incorrect,reading_speed_wpm,pronunciation_accuracy,fluency_score,word_error_rate,hesitation_count,repetition_count,omission_count,substitution_count,insertion_count,transcribed_text,pitch_mean,energy_mean,avg_pause_duration,error_pattern_features,normalized_speed,normalized_fluency,normalized_accuracy,pitch_variability,energy_variability,pause_pattern_score,phonological_score,decoding_score,fluency_subscore,pronunciation_subscore,weak_skill,difficulty_score,difficulty_level,intervention_intensity
C003,C003-S02,2026-08-10,12,7,Female,P01,Easy,44.5,83,65,18,111.8,83.2,72.4,0.21,5,0,0,2,1,the children walked across the road before entering the school,202.8,0.46,0.48,omission:0;substitution:2;insertion:1;repetition:0,111.8,72.4,77.9,19.0,0.09,61.9,78.0,97.2,71.0,83.6,fluency,0.132,Low,Low
C003,C003-S03,2026-08-17,12,7,Female,P04,Challenging,53.3,105,95,10,118.2,90.5,97.6,0.093,1,1,2,1,0,the children played together in the garden after school,230.2,0.75,0.82,omission:2;substitution:1;insertion:0;repetition:1,118.2,97.6,90.6,15.4,0.05,51.8,86.6,92.2,96.6,90.5,phonological,0.092,Low,Low
C003,C003-S04,2026-08-24,12,7,Female,P05,Challenging,50.2,95,73,22,113.4,89.3,88.6,0.251,1,2,1,2,1,the children walked across the road before entering the school,228.3,0.69,0.55,omission:1;substitution:2;insertion:1;repetition:2,113.4,88.6,77.3,18.1,0.05,60.0,91.9,85.8,91.2,87.3,decoding,0.215,Low,Low
C003,C003-S05,2026-08-31,12,7,Female,P03,Moderate,40.5,85,83,2,125.9,100.0,79.6,0.02,3,1,1,2,1,the small bird flew over the tree and rested on a branch,220.5,0.56,0.49,omission:1;substitution:2;insertion:1;repetition:1,125.9,79.6,97.6,18.3,0.06,62.0,80.7,91.4,76.9,95.1,fluency,0.02,Low,Low
C004,C004-S01,2026-08-14,11,6,Female,P01,Easy,140.5,139,86,53,59.3,57.0,53.5,0.378,3,3,1,5,1,the teacher asked the students to read the new passage,234.9,0.59,1.02,omission:1;substitution:5;insertion:1;repetition:3,59.3,53.5,62.0,27.0,0.16,32.4,76.4,77.5,55.8,60.1,fluency,0.393,Moderate,Moderate
C004,C004-S02,2026-08-21,11,6,Female,P01,Easy,121.9,107,54,53,52.7,47.6,43.8,0.503,3,1,6,6,2,the small bird flew over the tree and rested on a branch,249.2,0.43,1.0,omission:6;substitution:6;insertion:2;repetition:1,52.7,43.8,50.6,34.0,0.09,25.9,86.1,54.6,41.4,46.9,fluency,0.466,Moderate,High
C004,C004-S03,2026-08-28,11,6,Female,P01,Easy,99.8,85,51,34,51.1,51.2,44.9,0.408,2,1,5,3,2,the children walked across the road before entering the school,217.0,0.51,1.14,omission:5;substitution:3;insertion:2;repetition:1,51.1,44.9,60.3,21.7,0.07,32.7,79.9,55.3,46.1,57.0,fluency,0.479,High,High
C004,C004-S04,2026-09-04,11,6,Female,P03,Moderate,138.0,142,61,81,61.8,57.4,27.5,0.577,7,3,1,1,2,the teacher asked the students to read the new passage,220.1,0.38,0.94,omission:1;substitution:1;insertion:2;repetition:3,61.8,27.5,42.8,22.5,0.12,39.8,68.5,100.0,26.1,59.0,fluency,0.474,High,High
C004,C004-S05,2026-09-11,11,6,Female,P05,Challenging,157.0,123,59,64,47.0,61.6,45.4,0.544,10,1,4,2,1,the boy saw a colourful bird sitting in the garden,211.3,0.53,1.09,omission:4;substitution:2;insertion:1;repetition:1,47.0,45.4,48.1,24.5,0.1,32.1,56.3,70.8,48.4,64.3,fluency,0.567,High,High
C005,C005-S01,2026-08-04,8,3,Male,P01,Easy,85.1,109,70,39,76.8,59.6,44.2,0.365,4,2,2,2,0,the teacher explained the lesson using pictures and examples,222.2,0.58,0.83,omission:2;substitution:2;insertion:0;repetition:2,76.8,44.2,64.3,25.8,0.12,41.0,84.1,95.2,41.2,56.1,fluency,0.375,Moderate,High
C005,C005-S02,2026-08-11,8,3,Male,P03,Moderate,53.2,80,53,27,90.2,66.3,48.7,0.329,7,2,2,0,1,the children played together in the garden after school,216.7,0.42,1.1,omission:2;substitution:0;insertion:1;repetition:2,90.2,48.7,66.9,30.6,0.13,25.5,57.2,91.9,48.1,69.6,fluency,0.377,Moderate,High
C005,C005-S03,2026-08-18,8,3,Male,P05,Challenging,67.5,88,56,32,78.2,77.7,63.9,0.364,5,2,1,3,2,the family spent the evening reading a new story together,230.7,0.68,0.97,omission:1;substitution:3;insertion:2;repetition:2,78.2,63.9,64.0,22.1,0.08,39.0,73.6,82.9,64.5,79.5,fluency,0.367,Moderate,Moderate
C005,C005-S04,2026-08-25,8,3,Male,P05,Challenging,69.5,86,57,29,74.3,68.0,58.4,0.326,4,3,5,3,0,the student tried to understand the difficult passage without help,252.6,0.52,1.1,omission:5;substitution:3;insertion:0;repetition:3,74.3,58.4,66.2,22.9,0.14,33.3,71.3,66.2,48.9,65.5,fluency,0.344,Moderate,Moderate
C005,C005-S05,2026-09-01,8,3,Male,P05,Challenging,77.6,120,77,43,92.8,69.7,62.5,0.358,4,0,3,2,0,the family spent the evening reading a new story together,229.2,0.45,0.89,omission:3;substitution:2;insertion:0;repetition:0,92.8,62.5,63.8,22.2,0.06,42.4,93.8,80.1,63.2,70.0,fluency,0.338,Moderate,Moderate
C006,C006-S01,2026-08-13,7,2,Female,P05,Challenging,54.0,121,112,9,134.4,88.0,68.9,0.057,2,0,0,3,0,the children played together in the garden after school,230.8,0.56,0.53,omission:0;substitution:3;insertion:0;repetition:0,134.4,68.9,92.2,22.6,0.05,56.4,81.7,89.1,72.8,87.8,fluency,0.063,Low,Low
C006,C006-S02,2026-08-20,7,2,Female,P04,Challenging,54.9,108,103,5,118.0,97.7,99.9,0.061,1,0,0,4,0,the children played together in the garden after school,231.2,0.53,0.55,omission:0;substitution:4;insertion:0;repetition:0,118.0,99.9,95.4,15.9,0.06,62.3,87.8,82.5,98.1,100.0,decoding,0.045,Low,Low
C006,C006-S03,2026-08-27,7,2,Female,P03,Moderate,46.1,106,102,4,137.9,97.4,100.0,0.041,1,3,0,1,0,the children played together in the garden after school,245.6,0.5,0.84,omission:0;substitution:1;insertion:0;repetition:3,137.9,100.0,95.9,15.1,0.06,51.2,75.9,95.3,100.0,97.7,phonological,0.02,Low,Low
C006,C006-S04,2026-09-03,7,2,Female,P02,Moderate,44.5,99,86,13,133.6,92.1,88.5,0.13,2,1,2,2,2,the teacher asked the students to read the new passage,203.9,0.58,0.49,omission:2;substitution:2;insertion:2;repetition:1,133.6,88.5,86.4,13.9,0.07,66.5,79.0,77.4,88.8,91.0,decoding,0.122,Low,Low
C006,C006-S05,2026-09-10,7,2,Female,P05,Challenging,60.7,130,129,1,128.4,90.1,90.9,0.014,0,0,2,0,0,the student tried to understand the difficult passage without help,246.6,0.5,0.26,omission:2;substitution:0;insertion:0;repetition:0,128.4,90.9,99.0,11.0,0.03,78.7,99.7,93.4,91.9,88.2,pronunciation,0.05,Low,Low
C007,C007-S01,2026-08-20,11,6,Male,P03,Moderate,160.5,133,42,91,49.7,50.6,42.9,0.696,3,5,4,9,1,the family spent the evening reading a new story together,226.8,0.59,0.96,omission:4;substitution:9;insertion:1;repetition:5,49.7,42.9,31.3,32.9,0.12,28.7,62.3,51.2,43.1,53.8,fluency,0.647,High,High
C007,C007-S02,2026-08-27,11,6,Male,P02,Moderate,107.1,89,46,43,49.9,55.7,30.5,0.474,5,2,4,7,0,the boy opened the book and started reading the story,232.4,0.65,1.1,omission:4;substitution:7;insertion:0;repetition:2,49.9,30.5,52.2,29.9,0.13,26.1,69.4,61.5,28.4,59.7,fluency,0.52,High,High
C007,C007-S03,2026-09-03,11,6,Male,P01,Easy,109.1,107,69,38,58.9,50.5,41.8,0.356,3,0,1,2,2,the small bird flew over the tree and rested on a branch,221.3,0.34,0.78,omission:1;substitution:2;insertion:2;repetition:0,58.9,41.8,64.4,24.2,0.1,44.7,81.1,88.8,37.9,50.3,fluency,0.464,Moderate,High
C007,C007-S04,2026-09-10,11,6,Male,P03,Moderate,225.0,132,85,47,35.2,43.6,37.0,0.356,2,2,3,5,1,the family went to the park on a sunny afternoon,202.4,0.45,0.8,omission:3;substitution:5;insertion:1;repetition:2,35.2,37.0,64.1,35.6,0.16,32.4,85.8,73.7,42.7,44.0,fluency,0.486,High,High
C007,C007-S05,2026-09-17,11,6,Male,P01,Easy,85.7,87,41,46,60.9,58.4,45.4,0.516,3,3,4,2,1,the teacher explained the lesson using pictures and examples,209.1,0.42,0.85,omission:4;substitution:2;insertion:1;repetition:3,60.9,45.4,47.3,27.3,0.12,38.7,79.3,79.4,47.5,61.0,fluency,0.61,High,High
C008,C008-S01,2026-08-09,12,7,Female,P02,Moderate,84.0,82,34,48,58.6,52.4,33.8,0.573,5,3,4,4,1,the student tried to understand the difficult passage without help,248.3,0.68,0.7,omission:4;substitution:4;insertion:1;repetition:3,58.6,33.8,41.9,30.4,0.1,41.8,62.8,67.7,35.0,57.9,fluency,0.571,High,High
C008,C008-S02,2026-08-16,12,7,Female,P02,Moderate,108.7,111,77,34,61.3,63.4,43.6,0.3,3,2,5,1,3,the teacher asked the students to read the new passage,225.4,0.49,1.11,omission:5;substitution:1;insertion:3;repetition:2,61.3,43.6,69.2,25.6,0.11,30.1,90.9,86.1,41.3,63.2,fluency,0.429,Moderate,Moderate
C008,C008-S03,2026-08-23,12,7,Female,P04,Challenging,106.8,141,104,37,79.2,63.5,47.2,0.258,8,0,5,2,2,the student tried to understand the difficult passage without help,233.5,0.73,0.82,omission:5;substitution:2;insertion:2;repetition:0,79.2,47.2,73.6,25.4,0.08,41.7,62.0,75.8,48.9,63.6,fluency,0.295,Moderate,Moderate
C008,C008-S04,2026-08-30,12,7,Female,P03,Moderate,110.6,112,73,39,60.7,64.9,60.9,0.329,5,4,0,3,1,the little girl walked to school with her brother,223.4,0.52,0.9,omission:0;substitution:3;insertion:1;repetition:4,60.7,60.9,65.0,17.8,0.11,46.0,61.7,89.9,62.4,66.1,phonological,0.391,Moderate,Moderate
C008,C008-S05,2026-09-06,12,7,Female,P05,Challenging,105.9,149,75,74,84.4,62.9,57.4,0.485,7,6,2,1,0,the little girl walked to school with her brother,230.0,0.46,0.72,omission:2;substitution:1;insertion:0;repetition:6,84.4,57.4,50.4,29.0,0.09,42.0,45.7,97.4,51.8,61.1,phonological,0.424,Moderate,High
C009,C009-S01,2026-08-01,12,7,Female,P02,Moderate,52.2,104,92,12,119.6,96.6,93.6,0.122,1,4,0,0,0,the cat was sitting quietly beside the window,239.6,0.55,0.5,omission:0;substitution:0;insertion:0;repetition:4,119.6,93.6,88.8,14.9,0.06,65.3,73.0,99.1,96.3,94.1,phonological,0.125,Low,Low
C009,C009-S02,2026-08-08,12,7,Female,P05,Challenging,45.6,91,84,7,119.7,89.2,81.2,0.079,3,1,0,1,1,the teacher explained the lesson using pictures and examples,259.9,0.7,0.46,omission:0;substitution:1;insertion:1;repetition:1,119.7,81.2,92.5,12.8,0.04,68.8,84.5,98.0,76.8,89.6,fluency,0.195,Low,Low
C009,C009-S03,2026-08-15,12,7,Female,P05,Challenging,43.8,101,98,3,138.2,89.9,87.1,0.034,3,0,1,0,1,the teacher asked the students to read the new passage,222.1,0.53,0.82,omission:1;substitution:0;insertion:1;repetition:0,138.2,87.1,96.7,9.4,0.04,57.7,79.5,93.8,85.4,89.5,phonological,0.064,Low,Low
C009,C009-S04,2026-08-22,12,7,Female,P05,Challenging,47.9,92,91,1,115.3,96.4,95.7,0.005,0,1,0,2,1,the teacher asked the students to read the new passage,216.5,0.49,0.7,omission:0;substitution:2;insertion:1;repetition:1,115.3,95.7,99.0,16.5,0.05,55.3,100.0,92.2,89.7,96.0,fluency,0.047,Low,Low
C009,C009-S05,2026-08-29,12,7,Female,P02,Moderate,69.0,129,104,25,112.2,95.7,88.5,0.207,7,0,0,1,0,the small bird flew over the tree and rested on a branch,229.6,0.65,0.33,omission:0;substitution:1;insertion:0;repetition:0,112.2,88.5,80.4,23.2,0.03,63.6,68.3,100.0,91.3,91.2,phonological,0.141,Low,Low
C010,C010-S01,2026-08-15,7,2,Male,P02,Moderate,205.3,124,39,85,36.2,51.2,33.9,0.67,5,2,4,4,2,the family spent the evening reading a new story together,224.8,0.4,0.83,omission:4;substitution:4;insertion:2;repetition:2,36.2,33.9,31.1,28.0,0.16,39.0,83.1,66.3,30.3,51.6,fluency,0.691,High,High
C010,C010-S02,2026-08-22,7,2,Male,P01,Easy,321.0,107,31,76,20.0,50.6,18.9,0.7,11,2,5,2,2,the family went to the park on a sunny afternoon,198.3,0.58,0.93,omission:5;substitution:2;insertion:2;repetition:2,20.0,18.9,29.1,31.0,0.14,31.8,42.1,71.0,15.5,57.7,fluency,0.804,High,High
C010,C010-S03,2026-08-29,7,2,Male,P04,Challenging,240.1,140,48,92,35.0,48.2,29.8,0.66,9,3,6,7,2,the student tried to understand the difficult passage without help,228.4,0.55,1.06,omission:6;substitution:7;insertion:2;repetition:3,35.0,29.8,34.4,25.2,0.13,32.3,60.0,47.3,28.5,48.9,fluency,0.606,High,High
C010,C010-S04,2026-09-05,7,2,Male,P02,Moderate,174.5,126,50,76,43.3,39.9,23.9,0.598,4,2,5,3,0,the children played together in the garden after school,208.1,0.5,1.02,omission:5;substitution:3;insertion:0;repetition:2,43.3,23.9,39.6,18.3,0.14,40.7,78.3,66.7,20.8,40.4,fluency,0.627,High,High
C010,C010-S05,2026-09-12,7,2,Male,P03,Moderate,324.0,147,57,90,27.2,44.8,20.8,0.607,3,2,6,5,2,the children visited the library and selected interesting books to read,247.2,0.6,0.86,omission:6;substitution:5;insertion:2;repetition:2,27.2,20.8,38.6,31.6,0.13,34.1,82.9,54.4,22.3,42.1,fluency,0.656,High,High
C011,C011-S01,2026-08-20,7,2,Male,P03,Moderate,52.3,103,89,14,118.3,69.9,69.8,0.124,2,1,0,1,1,the children visited the library and selected interesting books to read,220.3,0.5,0.72,omission:0;substitution:1;insertion:1;repetition:1,118.3,69.8,86.3,15.0,0.12,56.3,82.4,94.5,73.8,69.3,pronunciation,0.128,Low,Low
C011,C011-S02,2026-08-27,7,2,Male,P01,Easy,69.6,85,65,20,73.3,71.3,76.3,0.247,3,0,0,3,1,the small bird flew over the tree and rested on a branch,216.5,0.51,0.69,omission:0;substitution:3;insertion:1;repetition:0,73.3,76.3,76.3,21.6,0.08,50.9,87.5,97.6,74.8,71.3,pronunciation,0.295,Moderate,Moderate
C011,C011-S03,2026-09-03,7,2,Male,P03,Moderate,63.1,105,65,40,99.9,76.9,71.7,0.376,7,2,5,3,1,the family spent the evening reading a new story together,211.5,0.49,0.7,omission:5;substitution:3;insertion:1;repetition:2,99.9,71.7,61.5,23.4,0.05,48.6,70.6,78.2,71.6,80.3,phonological,0.294,Moderate,Moderate
C011,C011-S04,2026-09-10,7,2,Male,P01,Easy,58.5,92,71,21,94.3,81.0,74.3,0.221,0,1,2,0,2,the teacher explained the lesson using pictures and examples,221.9,0.62,0.64,omission:2;substitution:0;insertion:2;repetition:1,94.3,74.3,77.0,20.9,0.1,53.5,99.1,98.0,77.5,86.5,fluency,0.27,Moderate,Moderate
C011,C011-S05,2026-09-17,7,2,Male,P04,Challenging,73.8,134,89,45,109.0,88.0,70.1,0.337,6,2,0,1,1,the teacher asked the students to read the new passage,208.9,0.49,0.83,omission:0;substitution:1;insertion:1;repetition:2,109.0,70.1,66.6,21.7,0.08,45.1,64.9,100.0,70.0,87.5,phonological,0.244,Moderate,Moderate
C012,C012-S01,2026-08-04,8,3,Female,P03,Moderate,52.1,84,83,1,96.7,89.8,100.0,0.009,1,2,1,2,0,the teacher explained the lesson using pictures and examples,199.2,0.51,0.39,omission:1;substitution:2;insertion:0;repetition:2,96.7,100.0,99.0,20.6,0.03,63.9,80.0,88.2,100.0,91.8,phonological,0.047,Low,Low
C012,C012-S02,2026-08-11,8,3,Female,P01,Easy,58.3,98,80,18,100.9,88.7,75.1,0.176,1,1,0,1,0,the teacher asked the students to read the new passage,209.6,0.64,0.36,omission:0;substitution:1;insertion:0;repetition:1,100.9,75.1,82.0,14.9,0.05,70.5,95.2,97.4,75.8,90.9,fluency,0.217,Low,Low
C012,C012-S03,2026-08-18,8,3,Female,P05,Challenging,48.9,111,101,10,136.2,92.6,91.2,0.091,2,0,0,0,0,the cat was sitting quietly beside the window,227.6,0.49,0.52,omission:0;substitution:0;insertion:0;repetition:0,136.2,91.2,90.9,14.3,0.04,65.1,93.4,99.0,93.5,95.1,phonological,0.012,Low,Low
C012,C012-S04,2026-08-25,8,3,Female,P05,Challenging,62.7,145,139,6,138.7,95.0,97.4,0.044,3,1,0,0,1,the small bird flew over the tree and rested on a branch,208.3,0.67,0.6,omission:0;substitution:0;insertion:1;repetition:1,138.7,97.4,96.0,10.1,0.09,65.9,84.1,92.0,96.9,95.1,phonological,0.002,Low,Low
C012,C012-S05,2026-09-01,8,3,Female,P03,Moderate,39.6,80,76,4,121.1,95.2,93.7,0.037,1,1,2,0,0,the student tried to understand the difficult passage without help,226.7,0.62,0.44,omission:2;substitution:0;insertion:0;repetition:1,121.1,93.7,94.5,19.1,0.03,63.4,90.5,87.4,91.7,89.5,decoding,0.026,Low,Low
C013,C013-S01,2026-08-02,7,2,Female,P03,Moderate,97.3,82,29,53,50.6,39.7,38.9,0.675,9,2,1,2,0,the student tried to understand the difficult passage without help,195.3,0.52,1.03,omission:1;substitution:2;insertion:0;repetition:2,50.6,38.9,34.9,22.9,0.14,35.8,55.7,98.8,41.7,38.5,pronunciation,0.647,High,High
C013,C013-S02,2026-08-09,7,2,Female,P02,Moderate,169.6,132,63,69,46.7,44.3,23.0,0.516,11,2,5,1,1,the student tried to understand the difficult passage without help,232.3,0.52,1.06,omission:5;substitution:1;insertion:1;repetition:2,46.7,23.0,47.5,29.1,0.15,28.7,45.2,75.8,25.4,44.1,fluency,0.604,High,High
C013,C013-S03,2026-08-16,7,2,Female,P03,Moderate,165.6,133,53,80,48.2,54.1,31.3,0.625,8,3,3,3,2,the teacher asked the students to read the new passage,230.0,0.47,1.12,omission:3;substitution:3;insertion:2;repetition:3,48.2,31.3,39.7,24.9,0.13,30.4,60.7,69.5,29.4,52.3,fluency,0.665,High,High
C013,C013-S04,2026-08-23,7,2,Female,P03,Moderate,186.4,145,63,82,46.7,47.5,28.5,0.563,4,0,3,4,1,the cat was sitting quietly beside the window,235.9,0.46,0.81,omission:3;substitution:4;insertion:1;repetition:0,46.7,28.5,43.5,26.7,0.13,40.8,84.9,71.9,29.1,49.9,fluency,0.588,High,High
C013,C013-S05,2026-08-30,7,2,Female,P01,Easy,87.3,81,39,42,55.7,46.4,27.5,0.523,5,2,8,4,1,the teacher asked the students to read the new passage,248.7,0.46,0.85,omission:8;substitution:4;insertion:1;repetition:2,55.7,27.5,48.2,27.6,0.13,38.2,76.5,53.5,23.8,48.8,fluency,0.52,High,High
C014,C014-S01,2026-08-14,10,5,Male,P01,Easy,91.0,123,72,51,81.1,55.5,48.9,0.421,5,2,2,1,3,the little girl walked to school with her brother,208.6,0.61,1.0,omission:2;substitution:1;insertion:3;repetition:2,81.1,48.9,58.3,24.6,0.05,35.4,78.4,78.6,50.6,61.4,fluency,0.478,High,High
C014,C014-S02,2026-08-21,10,5,Male,P02,Moderate,102.9,137,88,49,79.9,67.1,59.5,0.38,2,0,3,2,0,the small bird flew over the tree and rested on a branch,217.6,0.46,0.41,omission:3;substitution:2;insertion:0;repetition:0,79.9,59.5,64.1,21.5,0.11,62.0,82.3,79.9,55.7,66.3,fluency,0.408,Moderate,Moderate
C014,C014-S03,2026-08-28,10,5,Male,P04,Challenging,73.1,100,64,36,82.0,68.1,53.0,0.364,4,1,3,3,0,the young student carefully followed the instructions in the classroom,217.6,0.56,1.23,omission:3;substitution:3;insertion:0;repetition:1,82.0,53.0,63.6,26.3,0.12,24.4,75.8,68.6,53.6,74.2,fluency,0.374,Moderate,Moderate
C014,C014-S04,2026-09-04,10,5,Male,P01,Easy,122.9,149,95,54,72.7,76.3,63.2,0.369,6,4,2,2,1,the children played together in the garden after school,221.4,0.54,1.04,omission:2;substitution:2;insertion:1;repetition:4,72.7,63.2,63.6,21.1,0.05,37.2,63.5,83.8,63.5,77.1,phonological,0.404,Moderate,Moderate
C014,C014-S05,2026-09-11,10,5,Male,P01,Easy,99.6,112,74,38,67.5,54.3,58.1,0.351,4,2,4,5,0,the small bird flew over the tree and rested on a branch,219.7,0.31,0.76,omission:4;substitution:5;insertion:0;repetition:2,67.5,58.1,66.0,19.9,0.14,49.8,84.5,71.2,54.7,50.3,pronunciation,0.374,Moderate,High
C015,C015-S01,2026-08-17,11,6,Male,P05,Challenging,62.5,105,96,9,100.9,82.0,85.5,0.107,3,2,2,3,2,the young student carefully followed the instructions in the classroom,210.4,0.62,0.77,omission:2;substitution:3;insertion:2;repetition:2,100.9,85.5,91.0,29.1,0.07,40.0,82.3,76.2,83.0,83.6,decoding,0.13,Low,Low
C015,C015-S02,2026-08-24,11,6,Male,P04,Challenging,76.1,145,119,26,114.3,91.9,77.7,0.161,1,1,1,0,0,the family spent the evening reading a new story together,244.8,0.62,0.6,omission:1;substitution:0;insertion:0;repetition:1,114.3,77.7,82.2,15.6,0.06,60.3,89.1,100.0,77.6,98.0,fluency,0.169,Low,Low
C015,C015-S03,2026-08-31,11,6,Male,P05,Challenging,65.5,116,115,1,106.3,88.1,83.5,0.008,3,0,1,1,0,the little girl walked to school with her brother,213.6,0.66,0.92,omission:1;substitution:1;insertion:0;repetition:0,106.3,83.5,98.8,16.7,0.02,46.4,90.7,85.8,81.9,87.4,fluency,0.136,Low,Low
C015,C015-S04,2026-09-07,11,6,Male,P05,Challenging,56.6,123,114,9,130.5,89.0,91.2,0.07,0,0,2,3,1,the teacher asked the students to read the new passage,251.7,0.53,0.32,omission:2;substitution:3;insertion:1;repetition:0,130.5,91.2,92.6,24.8,0.08,62.5,100.0,74.6,92.8,85.6,decoding,0.083,Low,Low
C015,C015-S05,2026-09-14,11,6,Male,P01,Easy,59.1,124,106,18,126.0,81.9,71.2,0.151,5,0,0,1,1,the student tried to understand the difficult passage without help,223.4,0.51,0.27,omission:0;substitution:1;insertion:1;repetition:0,126.0,71.2,85.1,18.7,0.06,70.3,90.5,91.8,66.9,77.4,fluency,0.165,Low,Low
C016,C016-S01,2026-08-08,12,7,Female,P02,Moderate,137.0,143,76,67,62.6,44.7,44.9,0.491,5,2,5,9,2,the children visited the library and selected interesting books to read,240.6,0.5,1.14,omission:5;substitution:9;insertion:2;repetition:2,62.6,44.9,53.3,25.4,0.13,28.9,66.1,48.5,47.9,45.3,pronunciation,0.542,High,High
C016,C016-S02,2026-08-15,12,7,Female,P02,Moderate,146.8,112,60,52,45.8,49.6,21.5,0.457,8,2,4,5,3,the small bird flew over the tree and rested on a branch,223.7,0.45,0.83,omission:4;substitution:5;insertion:3;repetition:2,45.8,21.5,53.9,32.5,0.13,34.5,62.6,62.5,14.3,52.8,fluency,0.5,High,High
C016,C016-S03,2026-08-22,12,7,Female,P02,Moderate,160.9,147,78,69,54.8,58.5,35.4,0.468,6,2,3,2,2,the boy opened the book and started reading the story,231.8,0.67,0.88,omission:3;substitution:2;insertion:2;repetition:2,54.8,35.4,53.3,29.4,0.11,35.3,75.4,79.3,40.7,59.2,fluency,0.577,High,High
